restaurant_name,owner_email,owner_password
"360°",360@dishly.com,360
"A Chau",a_chau@dishly.com,a_chau
"Aioli",aioli@dishly.com,aioli
"Akademia Smaków Ryszarda Majewskiego",akademia_smakow_ryszarda_majewskiego@dishly.com,akademia_smakow_ryszarda_majewskiego
"Al Capone",al_capone@dishly.com,al_capone
"Al Fuego",al_fuego@dishly.com,al_fuego
"AleGloria",alegloria@dishly.com,alegloria
"Anatolia",anatolia@dishly.com,anatolia
"Antich Cafe",antich_cafe@dishly.com,antich_cafe
"Aoia",aoia@dishly.com,aoia
"Ararat",ararat@dishly.com,ararat
"Argo",argo@dishly.com,argo
"Art Sushi",art_sushi@dishly.com,art_sushi
"Asia Mama",asia_mama@dishly.com,asia_mama
"Asia Wok Bamboo",asia_wok_bamboo@dishly.com,asia_wok_bamboo
"Babcia Włoszka",babcia_w_oszka@dishly.com,babcia_w_oszka
"Bao Bao Yummy Vietnam",bao_bao_yummy_vietnam@dishly.com,bao_bao_yummy_vietnam
"Bao Dao",bao_dao@dishly.com,bao_dao
"Bao Long",bao_long@dishly.com,bao_long
"Bar dla Wszystkich - Kercelak",bar_dla_wszystkich_kercelak@dishly.com,bar_dla_wszystkich_kercelak
"Basico",basico@dishly.com,basico
"Bazyliszek",bazyliszek@dishly.com,bazyliszek
"Bałkan Grill",ba_kan_grill@dishly.com,ba_kan_grill
"Bałkańska dusza",ba_kanska_dusza@dishly.com,ba_kanska_dusza
"Bella Mozarella Pasta&Pizza",bella_mozarella_pasta_pizza@dishly.com,bella_mozarella_pasta_pizza
"Bella Napoli",bella_napoli@dishly.com,bella_napoli
"Bella Napoli",bella_napoli_4@dishly.com,bella_napoli_4
"Bella Napoli",bella_napoli_3@dishly.com,bella_napoli_3
"Bella Napoli",bella_napoli_2@dishly.com,bella_napoli_2
"Belvedere",belvedere@dishly.com,belvedere
"Benvenuti Amici - Coming to America",benvenuti_amici_coming_to_america@dishly.com,benvenuti_amici_coming_to_america
"Biesiadowo",biesiadowo_4@dishly.com,biesiadowo_4
"Biesiadowo",biesiadowo@dishly.com,biesiadowo
"Biesiadowo",biesiadowo_3@dishly.com,biesiadowo_3
"Biesiadowo",biesiadowo_2@dishly.com,biesiadowo_2
"Binh Minh",binh_minh@dishly.com,binh_minh
"Chicago's Pizza",chicago_s_pizza_2@dishly.com,chicago_s_pizza_2
"Chicago's Pizza",chicago_s_pizza@dishly.com,chicago_s_pizza
"Curry House",curry_house@dishly.com,curry_house
"Da Grasso",da_grasso_2@dishly.com,da_grasso_2
